username,date,time_in,time_out,time_break,is_home_office,created_at,daily_activity_attributes
abueb,2023-12-11,16:00:00,18:00:00,00:00,Yes,2023-12-12 08:54:55.872,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-12 08:54:55.872000', 'time_spent': '02:00'}"
bsendziuk,2023-12-12,09:00:00,18:00:00,01:00,No,2023-12-12 09:06:23.616,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-12 09:06:23.616000', 'time_spent': '08:00'}"
pstolpa2,2023-12-08,09:30:00,12:00:00,00:00,No,2023-12-12 09:43:08.544,"{'project_name': 'Sales B2B', 'created_at': '2023-12-12 09:43:08.544000', 'time_spent': '02:30'}"
pstolpa2,2023-12-11,09:30:00,17:30:00,00:45,No,2023-12-12 09:44:10.752,"{'project_name': 'Sales B2B', 'created_at': '2023-12-12 09:44:10.752000', 'time_spent': '07:15'}"
arahma,2023-12-05,08:00:00,17:00:00,01:00,No,2023-12-12 11:04:03.360,"{'project_name': 'DSE Tech', 'created_at': '2023-12-12 11:04:03.360000', 'time_spent': '08:00'}"
arahma,2023-12-06,08:00:00,13:00:00,01:00,No,2023-12-12 11:04:43.104,"{'project_name': 'DSE Tech', 'created_at': '2023-12-12 11:04:43.104000', 'time_spent': '04:00'}"
arahma,2023-12-12,08:00:00,17:00:00,01:00,No,2023-12-12 11:06:05.184,"{'project_name': 'DSE Tech', 'created_at': '2023-12-12 11:06:05.184000', 'time_spent': '08:00'}"
arahma,2023-12-13,08:00:00,13:00:00,01:00,No,2023-12-12 11:06:57.024,"{'project_name': 'DSE Tech', 'created_at': '2023-12-12 11:06:57.024000', 'time_spent': '04:00'}"
mshchelkunov,2023-12-11,11:00:00,15:00:00,,Yes,2023-12-12 12:04:30.432,"{'project_name': 'DSE Quality', 'created_at': '2023-12-12 12:04:30.432000', 'time_spent': '04:00'}"
pstolpa2,2023-12-12,08:45:00,13:00:00,00:00,No,2023-12-12 12:44:02.112,"{'project_name': 'Sales B2B', 'created_at': '2023-12-12 12:44:02.112000', 'time_spent': '04:15'}"
khayeche,2023-12-08,09:00:00,18:00:00,01:00,,2023-12-12 13:49:33.312,"{'project_name': 'DSE Jobs', 'created_at': '2023-12-12 13:49:33.312000', 'time_spent': '08:00'}"
gleka,2023-12-12,08:00:00,16:15:00,00:15,No,2023-12-12 15:14:25.728,"{'project_name': 'DSE Tech', 'created_at': '2023-12-12 15:14:25.728000', 'time_spent': '07:00'}"
dsylari,2023-12-12,11:30:00,15:30:00,,No,2023-12-12 15:30:26.496,"{'project_name': 'DSE Tech', 'created_at': '2023-12-12 15:30:26.496000', 'time_spent': '04:00'}"
mkajo,2023-12-12,11:30:00,15:30:00,,No,2023-12-12 15:30:33.408,"{'project_name': 'DSE Quality', 'created_at': '2023-12-12 15:30:33.408000', 'time_spent': '04:00'}"
mvadodaria,2023-12-01,09:00:00,17:00:00,01:00,No,2023-12-12 16:15:25.632,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-12 16:15:25.632000', 'time_spent': '07:00'}"
mvadodaria,2023-12-04,09:00:00,17:00:00,01:00,No,2023-12-12 16:16:03.648,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-12 16:16:03.648000', 'time_spent': '07:00'}"
